unknown,seed,shot,method,accuracy,precision,recall,macro_f1,roc_auc,pr_auc,attack_recall,false_positive_rate
ddos,72,10,SGD,0.9015000000000001,0.9123858502608503,0.9015000000000001,0.9004464149504195,0.9686,0.9741105879414702,0.8690000000000001,0.066
ddos,82,1,Adam,0.836,0.8733327971478126,0.836,0.8257249238011698,0.9440000000000001,0.9516019932681696,0.831,0.159
ddos,82,1,MetaOpt,0.789,0.8423566912533631,0.789,0.7722875207143237,0.8991,0.9199736989790395,0.696,0.11800000000000001
ddos,82,1,SGD,0.8155,0.856777627901854,0.8155,0.8036503404671649,0.9247,0.9387596601841571,0.7709999999999999,0.14
ddos,82,3,Adam,0.9025,0.9177532883782884,0.9025,0.9006428106823853,0.9748,0.9769246614496615,0.883,0.07800000000000001
ddos,82,3,MetaOpt,0.8805,0.9026578768453768,0.8805,0.8765385721370208,0.9597,0.9638442626001449,0.8079999999999999,0.047
ddos,82,3,SGD,0.907,0.9226116865160984,0.907,0.9047108983531785,0.9749,0.9770201783510606,0.897,0.083
ddos,82,5,Adam,0.8975,0.9120145548895549,0.8975,0.895902345037592,0.9703,0.9739845293595293,0.852,0.057
ddos,82,5,MetaOpt,0.8755,0.8960703389747507,0.8755,0.8723942227126708,0.9548000000000001,0.9629023890110576,0.79,0.03900000000000001
ddos,82,5,SGD,0.9129999999999999,0.9255450591075592,0.9129999999999999,0.9112038315552922,0.9738,0.9774398818501759,0.889,0.063
ddos,82,10,Adam,0.9009999999999999,0.9145231712731713,0.9009999999999999,0.8996780576664477,0.9765,0.9788127039627039,0.856,0.054000000000000006
ddos,82,10,MetaOpt,0.8985,0.9145787337662338,0.8985,0.8965225217342595,0.9678,0.9716673937173936,0.8240000000000001,0.027000000000000003
ddos,82,10,SGD,0.9255,0.9344392551892553,0.9255,0.9247408382810859,0.9869,0.9872856726606726,0.91,0.059000000000000004
dos,42,1,Adam,0.7665000000000001,0.7847669456231763,0.7665000000000001,0.7562689468338337,0.8401000000000001,0.8800714965117442,0.763,0.23
